Scenario,Device,TX_Packets,RX_Packets,Lost_Packets,TX_Bytes,RX_Bytes,Delay,Jitter,TRR,PLR,NDI,JVI,ASI,Source_File
mitm,WIP,7080,7075,3,2010720,2009300,3215886.925795053,1470431.0954063605,99.92937853107344,0.0423728813559322,99.92937853107344,6.800726687866818e-08,69.95905441344733,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,6591,6590,1,1871844,1871560,2134081.942336874,1057493.171471927,99.98482779547868,0.015172204521316946,99.98482779547868,9.456325828208093e-08,69.98940067009066,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed6.xml
mitm,WIP,294,294,0,22932,22932,0.0,0.0,100.0,0.0,100.0,100.0,100.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,1,1,0,36,36,10808300.0,0.0,100.0,0.0,100.0,100.0,85.0000013878222,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,7080,7079,0,3823200,3822660,2326839.9491453595,1256738.2398643875,99.98587570621469,0.0,99.98587570621469,7.957106479963542e-08,69.99436866464463,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,7080,7076,3,2010720,2009584,2933550.028264556,1183049.7456189939,99.94350282485875,0.0423728813559322,99.94350282485875,8.452729928372607e-08,69.96470705787779,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,7080,7073,6,2010720,2008732,2945878.693623639,1265054.432348367,99.90112994350282,0.0847457627118644,99.90112994350282,7.904798193965327e-08,69.93504519763313,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,7080,7075,4,2010720,2009300,3106473.4982332154,1467802.1201413427,99.92937853107344,0.05649717514124294,99.92937853107344,6.812907445742167e-08,69.95481730786608,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,7080,6837,241,2010720,1941708,3662249.524645312,1665087.0264735995,96.56779661016948,3.403954802259887,96.56779661016948,6.005692095969773e-08,67.6059453077647,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,7080,7078,0,2010720,2010152,3197725.3461429784,1483653.574456061,99.97175141242937,0.0,99.97175141242937,6.74011788562306e-08,69.98871536597468,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,6591,6591,0,1871844,1871844,2105204.0661508115,1021541.4959793658,100.0,0.0,100.0,9.789127538694584e-08,70.00002180887356,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed3.xml
mitm,WIP,294,294,0,22932,22932,0.0,0.0,100.0,0.0,100.0,100.0,100.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,1,1,0,36,36,4561130.0,0.0,100.0,0.0,100.0,100.0,85.00000328865801,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,7080,7079,0,3823200,3822660,2319593.1628761124,1287074.4455431558,99.98587570621469,0.0,99.98587570621469,7.769558339735633e-08,69.99436840346279,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,7080,7079,0,2010720,2010436,2825173.0470405426,1137417.714366436,99.98587570621469,0.0,99.98587570621469,8.791844776901818e-08,69.99436877964885,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,7080,6838,241,2010720,1941992,3410865.7502193623,1413176.3673588769,96.5819209039548,3.403954802259887,96.5819209039548,7.076257588154414e-08,67.61159693299201,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,7080,7079,0,2010720,2010436,2965941.517163441,1457946.0375759287,99.98587570621469,0.0,99.98587570621469,6.858964416658147e-08,69.99436562833971,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,7080,7075,4,2010720,2009300,3185243.816254417,1491434.628975265,99.92937853107344,0.05649717514124294,99.92937853107344,6.704953605754646e-08,69.95481702652484,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,7080,7077,2,2010720,2009868,3246587.537091988,1464109.0857708068,99.95762711864407,0.02824858757062147,99.95762711864407,6.830092163457361e-08,69.97459113655209,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,6591,6591,0,1871844,1871844,2111561.2198452437,1041465.6349567592,100.0,0.0,100.0,9.601853056642948e-08,70.00002150651098,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
mitm,WIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,flowmonitor-IoMT-wifi_wip_blocksec_mitm2_sec23-mitm-seed4.xml
